job_role,skills
Nurse,"Patient Care, Clinical Skills"
Doctor,"Diagnosis, Treatment Planning"
Psychologist,"Counseling, Behavioral Therapy"
Fitness Trainer,"Exercise Planning, Nutrition"
Content Creator,"Video Editing, Social Media"
YouTuber,"Video Production, Branding"
Influencer Marketing Manager,"Campaign Strategy, Partnerships"
Data Architect,"Data Modeling, Warehousing"
BI Developer,"Power BI, SQL, Data Visualization"
Cloud Security Engineer,"Cloud Security, IAM, Encryption"
Penetration Tester,"Vulnerability Assessment, Exploitation"
Big Data Engineer,"Spark, Hadoop, Scala"
AI Researcher,"Deep Learning, Research Papers"
NLP Engineer,"Transformers, Text Processing"
Computer Vision Engineer,"OpenCV, Deep Learning"
Prompt Engineer,"LLMs, NLP, AI Optimization"
Generative AI Engineer,"GANs, Diffusion Models, Python"
MLOps Engineer,"ML Pipelines, Docker, Kubernetes"
CRM Administrator,"Salesforce, HubSpot"
ERP Consultant,"SAP, Oracle ERP"
Technical Writer,"Documentation, API Writing"
Scrum Master,"Agile, Sprint Planning"
Compliance Officer,"Regulatory Compliance, Auditing"
Risk Analyst,"Risk Assessment, Data Analysis"
Procurement Manager,"Vendor Negotiation, Supply Chain"
Business Intelligence Analyst,"SQL, Power BI, Reporting"
Growth Hacker,"A/B Testing, Analytics"
Cloud Consultant,"AWS, Azure, Migration"
Platform Engineer,"Infrastructure as Code, CI/CD"
